Product Name,Category,Dosage Form,Price,Trademark,Brand Origin,Country,Rating
"Nhũ tương Probiotic Emollient Latopic làm dịu da, giảm ngứa, giảm khô (250ml)","Sữa dưỡng thể, kem dưỡng thể",Nhũ tương (Gel),589000.0,LATOPIC,Ba Lan,Ba Lan,NULL
"Gel rửa mặt Avacne Cleansing Auvi giúp làm sạch và giảm nhờn, dưỡng ẩm và se khít lỗ chân lông (150g)","Sữa rửa mặt (Kem, gel, sữa)",Nhũ tương (Gel),385000.0,Auvi Nature,Úc,Úc,NULL
Dung dịch vệ sinh phụ nữ hàng ngày Provag Emulsion 150ml Biomed làm sạch cơ quan sinh dục ngoài,Chăm sóc cơ thể,Dung dịch,245000.0,NULL,Ba Lan,Ba Lan,NULL
"Gel rửa mặt ngừa mụn Canova Salipil Detergente Sifarma giúp loại bỏ bụi bẩn, tế bào chết, làm giảm và ngăn ngừa mụn (150ml)","Sữa rửa mặt (Kem, gel, sữa)",Gel,350000.0,Sifarma,Ý,Ý,NULL
Sữa rửa mặt trị mụn Acne Aid Liquid Cleanser Oil Control (100ml),"Sữa rửa mặt (Kem, gel, sữa)",Dung dịch,175000.0,Acne-Aid,Thái Lan,Thái Lan,4.6
Xịt kháng khuẩn khử mùi Dizigone 100ml Terrapharm hỗ trợ vết thương mau lành,Chăm sóc cơ thể,Dạng xịt,65000.0,Terrapharm,Việt Nam,Việt Nam,5.0
"Gel tắm gội Latopic Body and Hair Wash dành cho da dị ứng, kích ứng hỗ trợ dưỡng ẩm (400ml)","Sữa tắm, xà bông",Nhũ tương (Gel),533000.0,LATOPIC,Ba Lan,Ba Lan,NULL
"Kem phục hồi da Ceradan Ceramide Skin Barrier Repair Cream dành cho da khô, kích ứng và nhạy cảm (30g)","Dưỡng da bị khô, thiếu ẩm",Kem bôi da,245000.0,Hyphens,Singapore,Singapore,5.0
Kem dưỡng ẩm Cetaphil Moisturizing Cream hỗ trợ làm mềm và ẩm da (50g),"Sữa dưỡng thể, kem dưỡng thể",Dạng kem,230000.0,Cetaphil,Canada,Pháp,5.0
Chai xịt Zuchi Hoa Linh khử mùi hôi cơ thể (20ml),"Lăn khử mùi, xịt khử mùi",Dạng xịt,24000.0,Hoa Linh,Việt Nam,Việt Nam,5.0
"Gel Belazin hỗ trợ ngừa mụn trứng cá, ngừa thâm, dưỡng da (15g)","Kem trị mụn, gel trị mụn",Nhũ tương (Gel),125000.0,GAMMA,Việt Nam,Việt Nam,5.0
"Kem Sali-10 Perfect Foot And Hand Cream giảm nhăn da, giữ ẩm da, giảm khô da, nứt nẻ ở gót chân, ngón tay (30g)","Kem dưỡng da tay, chân",Dạng kem,50000.0,GAMMA,Việt Nam,Việt Nam,NULL
Kem A-Derma​​​​​​​ Dermalibour​​​​​​​​​​​​​​+ Repairing Cream làm dịu da dùng hằng ngày cho da kích ứng (50ml),Chăm sóc cơ thể,Dạng kem,417000.0,Aderma,Pháp,Pháp,NULL
"Sữa dưỡng ẩm Atopiclair Lotion Menarini giảm ngứa, rát, đau do viêm da cơ địa, viêm da tiếp xúc (120ml)","Dưỡng da bị khô, thiếu ẩm",Dung dịch,254000.0,Menarini,Pháp,Pháp,5.0
Dầu gội Radical Med Anti - Hair Loss Shampoo làm sạch và ngăn ngừa rụng tóc (300ml),Dầu gội dầu xả,Dung dịch,485000.0,FARMONA,Ba Lan,Việt Nam,NULL
"Kem Ceradan Ceramide Diaper Cream hỗ trợ làm dịu da, chống hăm tã cho bé (10g)",Chăm sóc cơ thể,Kem bôi da,96000.0,Hyphens,Singapore,Singapore,NULL
"Dầu xả Thái Dương 3 hương hoa suôn mềm, óng ả, tự nhiên (200ml)",Dầu gội dầu xả,Dung dịch,60000.0,Sao Thái Dương,Việt Nam,Việt Nam,NULL
Sữa tắm dưỡng ẩm Ceradan Ceramide Moisturing Wash Face And Body dành cho mặt và toàn thân (150ml),"Sữa tắm, xà bông",Nhũ tương (Gel),220000.0,Ceradan,Singapore,Singapore,NULL
"Sữa tắm, rửa mặt Clearinger Gamma làm ẩm và dịu da (150ml)","Sữa rửa mặt (Kem, gel, sữa)",Nhũ tương (Gel),178000.0,GAMMA,Việt Nam,Ấn Độ,NULL
